Place Name,Address,Comment
Saint Michael Parish,"1208 11th Ave SE  Olympia, WA",todo
First United Methodist Church of Olympia,"1224 Legion Way SE  Olympia, WA",todo
New Bridge Community Church,"812 Central St SE  Olympia, WA",todo
Olympia First Baptist Church,"904 Washington St SE  Olympia, WA",todo
United Churches of Olympia,"110 11th Ave SE  Olympia, WA",todo
First Christian Church,"701 Franklin St SE  Olympia, WA",todo
Harbor Church,"819 Olympia Ave NE  Olympia, WA",todo
St.~John's Episcopal Church,"114 20th Ave SE  Olympia, WA",todo
Eastside Community Center,"618 Puget St NE  Olympia, WA",todo
Church of Living Water,"1615 Chambers St SE  Olympia, WA",todo
Capital Vision Christian Church,"1175 Yew Ave NW  Olympia, WA",todo
Gloria Dei Lutheran Church,"1515 Harrison Ave NW  Olympia, WA",todo
Unity Church of Olympia,"1335 Fern St SW  Olympia, WA",todo
The Bible Presbyterian Church of Olympia,"2039 Sleater Kinney Rd NE  Olympia, WA",todo
St.~Michael Parish,"1055 Boundary St SE  Olympia, WA",todo
Westminister Presbyterian Church,"1925 Boulevard Rd SE  Olympia, WA",todo
Olympia Christian Reformed Church,"2121 Log Cabin Rd SE  Olympia, WA",todo
South Sound Church,"1416 26th Ave NE  Olympia, WA",todo
The Lutheran Church of the Good Shepherd,"1601 North St SE  Olympia, WA",todo
Gospel Outreach Reformational Church,"1925 S Bay Rd NE  Olympia, WA",todo
Evergreen Christian Community,"1000 Black Lake Blvd SW  Olympia, WA",todo
Transformation Life Center,"1717 Eskridge Blvd SE  Olympia, WA",todo
Calvary Chapel,"919 Division St NW  Olympia, WA",todo
Risen Faith Fellowship,"2129 4th Ave E  Olympia, WA",todo
Capital Christian Center,"4431 Martin Way E  Olympia, WA",todo
Olympia Unitarian Universalist Congregation,"2315 Division St NW  Olympia, WA",todo
Hidden Creek Community Church,"1807 9th Ave SE  Olympia, WA",todo
Abundant Life Apostolic Church,"2220 Muirhead Ave NW  Olympia, WA",todo
Grace Community Covenant Church,"5501 Wiggins Rd SE  Olympia, WA",todo
Peace Lutheran Brethren Church,"2242 Friendly Grove Rd NE  Olympia, WA",todo
Trinity Lutheran Church,"2020 Franklin St SE  Olympia, WA",todo
Life Pointe Church,"6120 Mullen Rd SE  Olympia, WA",todo
